gender,study_hours_per_day,social_media_hours_per_day,attendance_percentage,sleep_hours_per_day,parent_education_level,extra_curricular_activities,part_time_job,score
Other,5.6,4.2,82.1,8.9,High School,Clubs,No,39.1
Male,8.9,2.8,39.2,8.5,PhD,Arts,No,62.6
Other,10.5,5.4,44.8,8.0,Master,None,Yes,53.2
Other,5.2,6.1,73.0,5.4,High School,Clubs,No,26.3
Male,0.5,0.1,35.8,4.6,Master,None,No,10.5
Male,1.9,1.7,6.4,7.5,High School,Clubs,No,17.4
Other,0.3,5.7,7.4,7.3,High School,Sports,No,10.0
Female,7.8,3.1,11.5,5.1,Master,Clubs,No,42.0
Other,4.0,5.3,87.0,4.3,Bachelor,Multiple,Yes,39.1
Other,6.5,2.8,47.2,4.5,High School,Sports,Yes,31.2
Other,5.9,3.1,71.3,10.0,High School,Arts,No,41.0
Other,1.0,1.3,39.3,8.7,Bachelor,Arts,No,22.4
Male,4.8,2.1,25.9,9.5,High School,None,No,16.5
Other,2.6,4.8,34.7,5.2,Bachelor,Arts,No,10.0
Female,5.0,3.5,79.4,9.8,Bachelor,Clubs,No,41.3
Male,2.4,6.2,62.5,4.9,High School,Multiple,Yes,13.7
Female,10.1,6.8,93.8,7.1,Bachelor,Multiple,No,70.9
Female,2.1,4.3,68.0,9.0,Master,Arts,Yes,30.5
Female,11.5,6.1,57.0,6.1,Bachelor,Clubs,No,59.9
Female,5.0,2.5,61.0,6.5,High School,Clubs,No,52.0
Male,10.2,3.3,94.2,4.8,High School,Arts,No,67.7
Male,7.5,5.7,78.8,4.7,Bachelor,None,No,43.0
Female,8.8,3.1,2.4,7.7,Master,Sports,Yes,46.4
Female,9.2,4.7,53.4,8.1,High School,Clubs,Yes,48.9
Male,6.1,1.5,68.8,8.7,High School,Arts,No,52.5
Male,6.5,4.8,74.9,7.3,Bachelor,Clubs,No,53.7
Male,6.2,6.9,21.3,7.9,Bachelor,None,No,30.9
Other,7.1,6.9,86.7,4.1,High School,Multiple,No,38.1
Other,0.4,5.8,95.6,5.0,Master,Sports,No,38.3
Other,4.7,6.0,23.7,9.9,High School,Clubs,Yes,18.6
Female,7.3,4.5,88.3,4.5,Bachelor,None,Yes,58.6
Other,7.2,4.7,9.7,8.1,Bachelor,None,No,33.2
Female,9.5,1.1,5.6,5.1,Bachelor,Clubs,Yes,43.7
Female,7.9,3.6,12.9,8.3,High School,Multiple,No,41.8
Other,11.9,3.6,5.8,8.2,Bachelor,Sports,No,55.6
Female,3.4,7.7,84.5,5.4,High School,None,Yes,24.1
Other,4.3,3.4,5.9,5.6,High School,Sports,No,10.0
Other,4.6,4.4,27.2,7.9,Bachelor,None,No,32.2
Male,5.6,4.3,10.4,6.3,Bachelor,None,No,22.4
Other,10.0,5.1,29.5,5.2,High School,Clubs,Yes,42.2
Male,2.8,6.0,9.1,8.4,High School,Multiple,No,18.5
Other,9.3,1.8,66.8,4.9,Master,None,No,61.2
Other,4.9,4.2,13.3,9.1,Master,Arts,No,25.6
Male,7.2,6.6,85.2,7.1,High School,Sports,Yes,46.0
Male,7.6,3.7,81.7,4.6,Bachelor,None,No,45.7
Other,4.5,2.2,1.4,8.2,Bachelor,Sports,No,35.1
Female,6.2,5.2,89.6,7.1,Bachelor,Arts,No,58.1
Male,5.0,6.6,2.9,5.8,Master,None,No,11.6
Female,0.8,0.5,24.0,6.5,High School,Sports,No,19.3
Female,5.2,6.2,3.2,5.8,Master,None,No,10.0
Female,1.2,6.6,33.6,5.6,Bachelor,Sports,Yes,10.0
Male,4.9,3.7,51.4,5.0,Bachelor,None,No,31.4
Female,7.1,7.9,79.7,6.2,Bachelor,Multiple,Yes,48.2
Male,7.0,6.3,33.8,5.5,Master,Clubs,No,40.9
Female,8.0,6.2,70.5,8.1,High School,Multiple,No,60.9
Other,1.1,6.0,18.8,8.1,None,Sports,No,10.0
Other,7.8,1.2,75.1,7.0,High School,Sports,No,53.6
Male,3.7,1.7,23.6,8.7,PhD,Sports,No,35.7
Other,4.8,3.7,14.4,9.0,Bachelor,None,Yes,25.1
